fiscal_date,quarter,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,ticker
2023-12-31,4.0,40111000000.0,7695000000.0,32416000000.0,16384000000.0,-61000000.0,14017000000.0,5.46,5.33,2566000000.0,2630000000.0,20176000000.0,14017000000.0,,,10517000000.0,5515000000.0,,588000000.0,136000000.0,META
2023-09-30,3.0,34146000000.0,6210000000.0,27936000000.0,13748000000.0,-98000000.0,11583000000.0,4.5,4.39,2576000000.0,2641000000.0,17116000000.0,11583000000.0,,,9241000000.0,4947000000.0,,534000000.0,139000000.0,META
2023-06-30,2.0,31999000000.0,5945000000.0,26054000000.0,9392000000.0,-145000000.0,7788000000.0,3.03,2.98,2568000000.0,2612000000.0,12177000000.0,7789000000.0,,,9344000000.0,7318000000.0,,323000000.0,116000000.0,META
2023-03-31,1.0,28645000000.0,6108000000.0,22537000000.0,7227000000.0,-63000000.0,5709000000.0,2.21,2.2,2587000000.0,2596000000.0,9949000000.0,5709000000.0,,,9381000000.0,5929000000.0,,193000000.0,55000000.0,META
2022-12-31,4.0,32165000000.0,8336000000.0,23829000000.0,6399000000.0,57000000.0,4653000000.0,1.76,1.76,2638000000.0,2640000000.0,8718000000.0,4653000000.0,,,9771000000.0,7659000000.0,,32000000.0,,META
2023-12-31,4.0,130190000000.0,,,,66210000000.0,37758000000.0,,,,,,37758000000.0,-184000000.0,,,8492000000.0,53408000000.0,,1276000000.0,BRK.B
2023-09-30,3.0,63432000000.0,,,,66421000000.0,-12567000000.0,-5.88267,-5.88267,2170386415.0,2170386415.0,,-12567000000.0,-200000000.0,,,6609000000.0,54425000000.0,,1260000000.0,BRK.B
2023-06-30,2.0,125564000000.0,,,,66606000000.0,36199000000.0,16.516675,16.516675,2174311913.0,2174311913.0,,36199000000.0,-287000000.0,,,6462000000.0,53983000000.0,,1249000000.0,BRK.B
2023-03-31,1.0,120151000000.0,,,,61350000000.0,35757000000.0,16.251341,16.251341,2184655908.0,2184655908.0,,35757000000.0,-253000000.0,,,7079000000.0,49197000000.0,,1218000000.0,BRK.B
2022-12-31,4.0,92628000000.0,,,,53598000000.0,18321000000.0,,,2195041902.0,,,18321000000.0,-157000000.0,,,8827000000.0,41272000000.0,,1139000000.0,BRK.B
2023-12-31,4.0,9353400000.0,1788000000.0,7565400000.0,3540000000.0,-937500000.0,2189700000.0,2.30635,2.30635,949379000.0,949379000.0,3603700000.0,2189700000.0,,,2562700000.0,1462700000.0,,44500000.0,138200000.0,LLY
2023-09-30,3.0,9498600000.0,1860100000.0,7638500000.0,3425500000.0,-2922600000.0,-57400000.0,-0.060465,-0.060465,949303000.0,949303000.0,4000800000.0,-57400000.0,,,2409100000.0,1803900000.0,,48900000.0,124600000.0,LLY
2023-06-30,2.0,8312100000.0,1807400000.0,6504700000.0,2338400000.0,-175200000.0,1763200000.0,1.857396,1.857396,949286000.0,949286000.0,2737500000.0,1763200000.0,,,2356500000.0,1809800000.0,,46000000.0,120300000.0,LLY
2023-03-31,1.0,6960000000.0,1626700000.0,5333300000.0,1714800000.0,-116500000.0,1344900000.0,1.416777,1.416777,949267000.0,949267000.0,2113500000.0,1344900000.0,,,1985100000.0,1633400000.0,,34200000.0,102800000.0,LLY
2022-12-31,4.0,7301800000.0,1548100000.0,5753700000.0,2207500000.0,-52600000.0,1937700000.0,2.039294,2.039294,950182000.0,950182000.0,2576700000.0,1937700000.0,,,1995900000.0,1550300000.0,,25500000.0,84000000.0,LLY
2023-12-31,4.0,,,,,,,46.05,46.031471,5183713355.0,5185800000.0,,,,,,,,,,TSM
2023-09-30,3.0,546732758000.0,250090294000.0,296642464000.0,228064903000.0,1392240000.0,210795274000.0,40.7,40.7,5185853400.0,5185871600.0,392111263000.0,241940495000.0,204665000.0,,51137762000.0,17571029000.0,-131230000.0,15595274000.0,3111922000.0,TSM
2023-06-30,2.0,480841254000.0,220641407000.0,260199847000.0,201958043000.0,2050000000.0,181717006000.0,35.05,35.05,5185853600.0,5185883000.0,341095406000.0,214674909000.0,82015000.0,,41665278000.0,16529282000.0,47244000.0,13672021000.0,3005155000.0,TSM
2023-03-31,1.0,508632973000.0,222132581000.0,286500392000.0,231238157000.0,2382642000.0,206949036000.0,39.9,39.9,5185817600.0,5185875200.0,356576740000.0,244274931000.0,37525000.0,,39157036000.0,16152308000.0,-47109000.0,13617818000.0,2963686000.0,TSM
2022-12-31,4.0,625531876000.0,236346953000.0,389184923000.0,325040819000.0,2258190000.0,272272667000.0,57.05,57.05,5185800000.0,5185800000.0,444990311000.0,334551356000.0,24661000.0,,44587023000.0,19948307000.0,-391226000.0,10587332000.0,3334985000.0,TSM
2023-10-31,4.0,9295000000.0,2888000000.0,6407000000.0,4253000000.0,-416000000.0,3524000000.0,8.53,8.25,413000000.0,427000000.0,5306000000.0,3524000000.0,,,1388000000.0,418000000.0,,,405000000.0,AVGO
2023-07-31,3.0,8876000000.0,2712000000.0,6164000000.0,4068000000.0,-88000000.0,3303000000.0,8.0,7.74,413000000.0,427000000.0,5124000000.0,3303000000.0,,,1358000000.0,388000000.0,,,406000000.0,AVGO
2023-04-30,2.0,8733000000.0,2618000000.0,6115000000.0,4017000000.0,104000000.0,3481000000.0,8.39,8.15,415000000.0,427000000.0,5069000000.0,3481000000.0,,,1312000000.0,438000000.0,,,405000000.0,AVGO
2023-01-31,1.0,8915000000.0,2911000000.0,6004000000.0,4113000000.0,133000000.0,3774000000.0,9.03,8.8,418000000.0,429000000.0,5288000000.0,3774000000.0,,,1195000000.0,348000000.0,,,406000000.0,AVGO
2023-12-31,4.0,25167000000.0,20729000000.0,4438000000.0,2064000000.0,-145000000.0,7943000000.0,2.49,2.27,3181000000.0,3492000000.0,3484000000.0,7943000000.0,-13000000.0,,1094000000.0,1280000000.0,,333000000.0,61000000.0,TSLA
2023-09-30,3.0,23350000000.0,19172000000.0,4178000000.0,1764000000.0,37000000.0,1878000000.0,0.58,0.53,3176000000.0,3493000000.0,3318000000.0,1878000000.0,-25000000.0,2000000.0,1161000000.0,1253000000.0,,282000000.0,38000000.0,TSLA
