symbol,name,exchange,sector,industry,employees,zip,state,country
WASH,Washington Trust Bancorp Inc,NASDAQ,Financial Services,Banks—Regional,665,02891,RI,United States
GLRE,Greenlight Capital Re Ltd,NASDAQ,Financial Services,Insurance - Reinsurance,48,KY1-1205,,Cayman Islands
IVR,Invesco Mortgage Capital Inc,NYSE,Real Estate,REIT—Mortgage,0,30309,GA,United States
AVNW,Aviat Networks Inc,NASDAQ,Technology,Communication Equipment,685,78728,TX,United States
ANSC,Agriculture & Natural Solutions Acquisition Corporation,NASDAQ,Financial Services,Shell Companies,0,10019,NY,United States
OCS,Oculis Holding AG - Ordinary shares,NASDAQ,Healthcare,Biotechnology,28,6300,,Switzerland
OSG,Overseas Shipholding Group Inc,NYSE,Energy,Oil & Gas Midstream,1023,33602,FL,United States
DHIL,Diamond Hill Investment Group Inc,NASDAQ,Financial Services,Asset Management,129,43215,OH,United States
EAF,GrafTech International Ltd,NYSE,Industrials,Electrical Equipment & Parts,1249,44131,OH,United States
THFF,First Financial Corp-IN,NASDAQ,Financial Services,Banks—Regional,900,47807,IN,United States
CVRX,"CVRx, Inc.",NASDAQ,Healthcare,Medical Devices,200,55445,MN,United States
SLAM,Slam Corp.,NASDAQ,Financial Services,Shell Companies,0,10001,NY,United States
AVXL,Anavex Life Sciences Corp,NASDAQ,Healthcare,Biotechnology,40,10111,NY,United States
AMRN,Amarin Corp PLC,NASDAQ,Healthcare,Drug Manufacturers—General,365,112-114,,Ireland
CRMT,America's Car-Mart Inc-TX,NASDAQ,Consumer Cyclical,Auto & Truck Dealerships,2260,72756,AR,United States
FFWM,First Foundation Inc,NYSE,Financial Services,Banks—Regional,567,75201,TX,United States
DCGO,DocGo Inc.,NASDAQ,Healthcare,Medical Care Facilities,2064,10001,NY,United States
OLP,One Liberty Properties Inc,NYSE,Real Estate,REIT—Diversified,10,11021-3104,NY,United States
AUDC,AudioCodes Ltd,NASDAQ,Technology,Communication Equipment,966,7019900,,Israel
ALRS,Alerus Financial Corp,NASDAQ,Financial Services,Banks - Regional,773,58201,ND,United States
BTMD,Biote Corp,NASDAQ,Healthcare,Medical Care Facilities,186,75038,TX,United States
GDOT,Green Dot Corp,NYSE,Financial Services,Credit Services,1200,78701,TX,United States
NYXH,Nyxoah S.A.,NASDAQ,Healthcare,Medical Instruments & Supplies,137,1435,,Belgium
SPFI,South Plains Financial Inc,NASDAQ,Financial Services,Banks—Regional,600,79407,TX,United States
FBLG,"FibroBiologics, Inc. Common Stock",NASDAQ,Healthcare,Biotechnology,10,77598,TX,United States
ACRE,Ares Commercial Real Estate Corp,NYSE,Real Estate,REIT—Mortgage,0,10167,NY,United States
PGC,Peapack Gladstone Financial Corp,NASDAQ,Financial Services,Banks - Regional,498,07921,NJ,United States
CLOV,"Clover Health Investments, Corp.",NASDAQ,Healthcare,Healthcare Plans,656,37067,TN,United States
CCG,Cheche Group Inc. - Class A Ordinary Shares,NASDAQ,Communication Services,Internet Content & Information,635,100088,,China
DOMO,Domo Inc,NASDAQ,Technology,Software - Application,967,84003,UT,United States
MCB,Metropolitan Bank Holding Corp,NYSE,Financial Services,Banks—Regional,275,10016,NY,United States
PGEN,Precigen Inc,NASDAQ,Healthcare,Biotechnology,209,20876,MD,United States
