symbol,name,exchange,sector,industry,employees,zip,state,country
NVG,Nuveen AMT-Free Municipal Credit Income Fund,NYSE,Financial Services,Asset Management,0,60606-1220,IL,United States
P9N,"LiveWire Group, Inc.",FSX,Consumer Cyclical,Auto Manufacturers,248,53208,WI,United States
FRD,Friedman Industries Inc,NYSE,Basic Materials,Steel,234,75601,TX,United States
HHU,"ALLERGY THER. PLC LS-,001",XBER,,,0,,,Germany
300669,"Hangzhou Huning Elevator Parts Co., Ltd.",SZSE,Industrials,Specialty Industrial Machinery,649,311121,,China
WHITF,"Whitehaven Coal Ltd,",OTC,Energy,Thermal Coal,0,2000,NSW,Australia
WDFCD,K9 Gold Corp.,OTC,Basic Materials,Other Industrial Metals & Mining,0,V7T 1C3,BC,Canada
1776,"GF Securities Co., Ltd.",HKEX,Financial Services,Capital Markets,14802,510627,,China
6V2,Vivid Games S.A.,XSTU,Communication Services,Electronic Gaming & Multimedia,71,85-092,,Poland
ORA,Ormat Technologies Inc,NYSE,Utilities,Utilities - Renewable,1576,89519-6075,NV,United States
CCAP,Crescent Capital BDC Inc,NASDAQ,Financial Services,Asset Management,0,90025,CA,United States
GFI,Gold Fields Ltd,NYSE,Basic Materials,Gold,6297,2196,,South Africa
L7G,Lehto Group Oyj,FSX,Real Estate,Real Estate—Development,409,90440,,Finland
6BE,"Becle, S.A.B. de C.V.",FSX,Consumer Defensive,Beverages - Wineries & Distilleries,10281,01210,DF,Mexico
IOMT,Isomet Corp.,OTC,,,51,22151,VA,United States
SOBA,AT&T Inc,FSX,Communication Services,Telecom Services,149900,75202,TX,United States
NPABW,New Providence Acquisition Corp. II,NASDAQ,Financial Services,Shell Companies,0,78759,TX,United States
DA4B,SLAM EXPLORATION,XBER,,,0,,,Germany
LRC,Legrand SA,FSX,Industrials,Electrical Equipment & Parts,37768,87045,,France
NVE,"NVR, Inc.",FSX,Consumer Cyclical,Residential Construction,6300,20190,VA,United States
USX1,United States Steel Corp,XETR,Basic Materials,Steel,21803,15219-2800,PA,United States
HSZ,Hanjaya Mandala Sampoerna Tbk PT,FSX,Consumer Defensive,Tobacco,20492,60293,,Indonesia
ZAL,Zalaris ASA,OSE,Industrials,Staffing & Employment Services,1100,0275,,Norway
KBC,Keybridge Capital Limited,ASX,Financial Services,Asset Management,0,3004,VIC,Australia
AEDAS,Aedas Homes SA,BME,Real Estate,Real Estate—Development,263,28046,,Spain
301468,"Pourin Special Welding Technology Co., Ltd.",SZSE,Industrials,Specialty Industrial Machinery,589,529728,,China
GSRI,Golden Shield Resources Inc.,CSE,Basic Materials,Gold,0,V6E 3V7,BC,Canada
15M1,Meridian Energy Limited,FSX,Utilities,Utilities—Renewable,878,8013,,New Zealand
OFED,Oconee Federal Financial Corp,NASDAQ,Financial Services,Banks—Regional,79,29678,SC,United States
DUK,Duke Energy Corp,NYSE,Utilities,Utilities—Regulated Electric,27037,28202,NC,United States
2QG,Quantum Genomics Société Anonyme,FSX,Healthcare,Biotechnology,4,75008,,France
SSOF,"Sixty Six Oilfield Services, Inc.",OTC,Energy,Oil & Gas Equipment & Services,1,73189,OK,United States
5Z7,Sentry Select Primary Metals Corp.,FSX,,,0,,,Germany
061,Docebo Inc.,XSTU,Technology,Software—Application,900,M5V 1R9,ON,Canada
RR5,Solid Försäkringsaktiebolag ,FSX,Financial Services,Insurance - Specialty,72,25022,,Sweden
CGUN,Claremont Global Fund (Managed Fund),CXA,,,0,,,Australia
UPXI,Upexi Inc,NASDAQ,Communication Services,Internet Content & Information,95,33760,FL,United States
DMP,Dermapharm Holding SE,XETR,Healthcare,Drug Manufacturers—Specialty & Generic,2563,82031,,Germany
GB00BLDYK618,Scottish Mortgage Investment Tr,XSTU,,,0,,,Germany
RKM,Red 5 Ltd,FSX,Basic Materials,Gold,0,6005,WA,Australia
OI2,Oil States International Inc,FSX,Energy,Oil & Gas Equipment & Services,2752,77002,TX,United States
4142,Adimmune Corporation,TWSE,Healthcare,Biotechnology,0,427003,,Taiwan
EMYB,Embassy Bancorp Inc.,OTC,Financial Services,Banks - Regional,109,18017,PA,United States
AT0000A393Y1,EGB Bonus.Z./ANDRITZ 23-24,VSE,,,0,,,Austria
MDD,Arnoldo Mondadori Editore S.p.A.,FSX,Communication Services,Publishing,1939,,MI,Italy
05B,Hopium Société anonyme,FSX,Consumer Cyclical,Auto Manufacturers,85,75008,,France
2760,Tokyo Electron Device Limited,JPX,Technology,Electronic Components,1318,221-0056,,Japan
NTDOYN,"Nintendo Co., Ltd.",BMV,,,7317,601-8501,,Japan
DWDE,MORGAN STANLEY 07/19 MTN,XBER,,,0,,,Germany
4LRA,IAC/InterActiveCorp,FSX,Communication Services,Internet Content & Information,11000,10011,NY,United States
JP3206000006,Kakaku.com Inc.,XSTU,,,0,,,Germany
2769,"Village Vanguard CO.,LTD.",JPX,Consumer Cyclical,Specialty Retail,388,465-0025,,Japan
PP51,Primary Health Properties PLC,FSX,Real Estate,REIT - Healthcare Facilities,58,WC2N 6DU,,United Kingdom
MDG.B5,MDG-B5.TA,TASE,,,0,,,Israel
688768,Anhui Ronds Science & Technology Incorporated Company,SSE,Technology,Information Technology Services,659,230088,,China
002945,"ChinaLin Securities Co., Ltd.",SZSE,Financial Services,Capital Markets,1177,518057,,China
MOHCY,Motor Oil (Hellas) Corinth Refineries S.A.,OTC,Energy,Oil & Gas Refining & Marketing,3083,151 24,,Greece
AHPA,Avista Public Acquisition Corp. II,NASDAQ,,,0,,,United States
AJ91,DocCheck AG,FSX,Healthcare,Health Information Services,473,50823,,Germany
180400,Dx & Vx Co Ltd,KOSDAQ,,,0,,,South Korea
CVNA,Carvana Co,NYSE,Consumer Cyclical,Auto & Truck Dealerships,13700,85281,AZ,United States
1491,"Chugai Mining Co., Ltd.",JPX,Basic Materials,Gold,139,100-6312,,Japan
COPH,ConocoPhillips,VSE,Energy,Oil & Gas E&P,9900,77079-2703,TX,United States
SCM,Stellus Capital Investment Corp,NYSE,Financial Services,Asset Management,0,77027,TX,United States
UGDIF,Unigold Inc.,OTC,Basic Materials,Gold,0,M5H 2Y4,ON,Canada
1UB,Cognetivity Neurosciences Ltd.,FSX,Healthcare,Health Information Services,0,V6E 2E9,BC,Canada
MDM,Maisons du Monde SA,EURONEXT,Consumer Cyclical,Home Improvement Retail,6830,44120,,France
4E0,Canada Nickel Co Inc,FSX,Basic Materials,Other Industrial Metals & Mining,0,M5X 1E3,ON,Canada
FR,First Industrial Realty Trust Inc,NYSE,Real Estate,REIT - Industrial,156,60606-6627,IL,United States
PEAS,Global Food and Ingredients Ltd.,TSXV,Consumer Defensive,Farm Products,0,M5E 1E3,ON,Canada
4HPQ,HP Inc.,MTA,,,58000,94304,CA,United States
002419,"Rainbow Digital Commercial Co., Ltd.",SZSE,Consumer Cyclical,Department Stores,15086,518052,,China
8WZ,D-MARKET Elektronik Hizmetler ve Ticaret Anonim Sirketi,FSX,Consumer Cyclical,Internet Retail,3834,34387,,Turkey
BHP1,BHP Group Ltd,FSX,Basic Materials,Other Industrial Metals & Mining,49089,3000,VIC,Australia
0V1N,International Tower Hill Mines Ltd.,LSE,,,3,V6C 1S4,BC,Canada
3563,Sushiro Global Holdings Ltd.,JPX,Consumer Cyclical,Restaurants,7134,564-0063,,Japan
0JK4,TAG Immobilien AG,LSE,Real Estate,Real Estate Services,1834,20457,,Germany
IWS,iShares Russell Mid-Cap Value ETF,NYSE,,,0,,,United States
CENTUM,Centum Electronics Limited,NSE,Technology,Electronic Components,1226,560106,,India
9537,"Hokuriku Gas Co.,Ltd.",JPX,Utilities,Utilities—Regulated Gas,629,950-8748,,Japan
H1ES34,Hess Corporation,BOVESPA,Energy,Oil & Gas E&P,1756,10036,NY,United States
PRKAB,Türk Prysmian Kablo ve Sistemleri Anonim Sirketi,BIST,Industrials,Electrical Equipment & Parts,589,16941,,Turkey
PKB,Invesco Dynamic Building & Construction ETF,NYSE,,,0,,,United States
HUI,HYDROGEN UTOPIA INTERNATIONAL P,LSE,Industrials,Waste Management,7,EC2N 1ER,,United Kingdom
BAIEMKOAA,BankInvest EM Korte Obligatione,OMXC,,,0,,,Denmark
BDC,Belden Inc,NYSE,Technology,Communication Equipment,8000,63105,MO,United States
AKO1L,AB Akola Group,OMXV,Consumer Defensive,Farm Products,4895,01302,,Lithuania
F12,Critical Elements Lithium Corporation,FSX,Basic Materials,Other Industrial Metals & Mining,0,J7C 5M3,QC,Canada
ARRJ,ArcelorMittal,FSX,Basic Materials,Steel,154352,1160,,Luxembourg
XWEL,"XWELL, Inc.",NASDAQ,Healthcare,Diagnostics & Research,382,10001,NY,United States
SAN,Banco Santander SA,NYSE,Financial Services,Banks—Diversified,200133,28660,,Spain
603288,Foshan Haitian Flavouring and Food Company Ltd.,SSE,Consumer Defensive,Packaged Foods,7313,528000,,China
8QJ,"Marqeta, Inc.",FSX,Technology,Software - Infrastructure,958,94612,CA,United States
ALDBL,Bernard Loiseau SA,EURONEXT,Consumer Cyclical,Restaurants,89,21210,,France
ACCA,"Acacia Diversified Holdings, Inc.",OTC,Healthcare,Drug Manufacturers - Specialty & Generic,5,33760,FL,United States
44B,Vistry Group PLC,FSX,Consumer Cyclical,Residential Construction,4826,ME19 4UY,,United Kingdom
DUR,Duke Realty Corporation,FSX,Real Estate,REIT—Industrial,340,46240,IN,Germany
TNE5,"Telefónica, S.A.",FSX,Communication Services,Telecom Services,104142,28050,,Spain
MGS,Magis S.p.A.,MTA,Basic Materials,Specialty Chemicals,200,50050,FI,Italy
VINAYAKPOL,VINAYAK POLYCON INTERNATIONAL,BSE,,,0,,,India
TTNN,TITAN NRG,OTC,Energy,Oil & Gas Midstream,270,85705,AZ,United States
XS2577518488,XS2577518488.TI,MTA,,,0,,,Italy
6D40,Delek Group Ltd.,FSX,Energy,Oil & Gas E&P,573,4612001,,Israel
VMR1,VALUE MGMT+RESH  INH.O.N.,XBER,,,0,,,Germany
TGPRO,Thai-German Products Public Company Limited,SET,Basic Materials,Steel,0,21150,,Thailand
RSH,Randstad N.V.,FSX,Industrials,Staffing & Employment Services,43340,1112 TC,,Netherlands
AIG,American International Group Inc,NYSE,Financial Services,Insurance - Diversified,25000,10020,NY,United States
ISI,Ionis Pharmaceuticals Inc,FSX,Healthcare,Biotechnology,927,92010,CA,United States
M1CK34,McKesson Corporation,BOVESPA,Healthcare,Medical Distribution,45000,75039,TX,United States
CGEMY,Capgemini SE,OTC,Technology,Information Technology Services,340400,75017,,France
IRN,TYRANNA RES LTD,XBER,,,0,,,Germany
DK0060055861,Chemometec AS,XSTU,,,0,,,Germany
DSYA,Dassault Systèmes SE,FSX,Technology,Software—Application,25573,78140,,France
ALGBE,Global Bioenergies SA,EURONEXT,Utilities,Utilities—Diversified,45,91000,,France
USB,US Bancorp,NYSE,Financial Services,Banks—Regional,75465,55402,MN,United States
ADS,adidas AG,XETR,Consumer Cyclical,Footwear & Accessories,51777,91074,,Germany
OPP.PR.B,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",NYSE,Financial Services,Asset Management,0,60654,IL,United States
SEE,Sealed Air Corp,NYSE,Consumer Cyclical,Packaging & Containers,17000,28208,NC,United States
PLDADEL00013,Dadelo S.A.,XSTU,,,0,,,Germany
AOMFF,Alstom,OTC,Industrials,Railroads,74513,93400,,France
BL43,Bridgeline Digital Inc,FSX,Technology,Software—Infrastructure,55,01801,MA,United States
0IIR,"Essex Property Trust, Inc.",LSE,,,1747,94403-7107,CA,United States
FSL,First Trust Senior Loan ETF ,TSX,,,0,,,Canada
SOWN,Software Aktiengesellschaft,BMV,,,4707,64297,,Germany
0JRJ,Knowles Corporation,LSE,,,7100,60143,IL,United States
CHO1,"Comstock Holding Companies, Inc.",FSX,Real Estate,Real Estate—Diversified,152,20190,VA,United States
SH9,Shenandoah Telecommunications Company,FSX,Communication Services,Telecom Services,845,22824,VA,United States
2839,ChinaAMC MSCI China A 50 Connect ETF,HKEX,,,0,,,Hong Kong
KEK,Kesko Oyj,FSX,Consumer Defensive,Grocery Stores,17702,00580,,Finland
KRYPF,Kerry Properties Ltd.,OTC,Real Estate,Real Estate—Development,7800,,,Hong Kong
51M,LACROIX Group SA,FSX,Technology,Scientific & Technical Instruments,4234,44800,,France
FSE,Télévision Française 1 Société anonyme,FSX,Communication Services,Broadcasting,2882,92656,,France
MEOBF,Mesoblast Ltd.,OTC,Healthcare,Biotechnology,83,3000,VIC,Australia
DSY,Destiny Media Technologies Inc,TSXV,Technology,Software—Application,35,V6G 2V3,BC,Canada
BAZA3F,AMAZONIA    ON,BOVESPA,,,0,,,Brazil
301360,Rongcheer Industrial Technology ,SZSE,Industrials,Specialty Industrial Machinery,0,215121,,China
210,S&W Seed Company,FSX,Consumer Defensive,Farm Products,134,80501-6085,CO,United States
ELECON,Elecon Engineering Company Limited,BSE,Industrials,Specialty Industrial Machinery,652,388120,,India
IBKR,Interactive Brokers Group Inc,NASDAQ,Financial Services,Capital Markets,2932,06830,CT,United States
6788,"Nihon Trim Co., Ltd.",JPX,Industrials,Pollution & Treatment Controls,650,530-0001,,Japan
ATSK011PREM1,RCB GarZ/STOXXGlobSelDiv100-29,VSE,,,0,,,Austria
CGEO,Georgia Capital PLC,LSE,Industrials,Conglomerates,19114,0179,,Georgia
3O8,Omeros Corp,FSX,Healthcare,Biotechnology,196,98119,WA,United States
BANDHANBNK,Bandhan Bank Limited,NSE,Financial Services,Banks - Regional,69702,700091,,India
6UP,Thungela Resources Limited,FSX,Energy,Thermal Coal,0,2196,,South Africa
49Y0,"Avenue Therapeutics, Inc.",FSX,Healthcare,Biotechnology,2,33154,FL,United States
300664,"Penyao Environmental Protection Co., Ltd.",SZSE,Industrials,Pollution & Treatment Controls,1367,214214,,China
1SPOT,SPOTIFY TECHNOLOGY,MTA,,,0,,,Italy
LNU,Linius Technologies Ltd,ASX,Technology,Software—Application,0,3004,VIC,Australia
6IV,Inventiva S.A.,FSX,Healthcare,Biotechnology,117,21121,,France
AROS.PR.REF.B,Aros Bostadsutveckling AB ,OMX,Real Estate,Real Estate - Development,37,103 65,,Sweden
ZLDAF,Zelira Therapeutics Ltd.,OTC,Healthcare,Biotechnology,0,6000,WA,Australia
3374,Naigai Tec Corporation,JPX,Industrials,Electrical Equipment & Parts,528,154-0024,,Japan
ALPHALOGIC,Alphalogic Techsys Limited,BSE,,,0,,,India
IVU,IVU Traffic Technologies AG,FSX,Technology,Software—Application,953,12161,,Germany
TPS,Threat Protect Australia Ltd,ASX,,,0,,,Australia
5548,Ancang Construction Corp Ltd.,TWSE,Industrials,Engineering & Construction,0,10491,,Taiwan
6805,Kimou Environmental Holding Limited,HKEX,Industrials,Waste Management,867,,,Hong Kong
CRIV3F,ALFA FINANC ON,BOVESPA,,,0,,,Brazil
3181,Premia Asia Innovative Technology ETF,HKEX,,,0,,,Hong Kong
5LY,Marco Polo Marine Ltd.,SGX,Industrials,Marine Shipping,0,349324,,Singapore
4070.SABE,4070-SABE.SR,TADAWUL,,,0,,,Saudi Arabia
HROW,Harrow Health Inc,NASDAQ,Healthcare,Drug Manufacturers - Specialty & Generic,217,37205,TN,United States
MDRX,Allscripts Healthcare Solutions Inc,NASDAQ,Healthcare,Health Information Services,8000,60654,IL,United States
4BY,BYD Electronic International Co Ltd,FSX,Technology,Electronic Components,96600,518116,,China
0VOO,Vanguard Scottsdale Funds - Vanguard Long-Term Corporate Bond ETF,LSE,,,0,,,United Kingdom
MSSAW,Metal Sky Star Acquisition Corporation,NASDAQ,Financial Services,Shell Companies,0,10001,NY,United States
VCC,"Fresh Tracks Therapeutics, Inc.",FSX,Healthcare,Biotechnology,13,80301,CO,United States
X8D,Critical Reagent Processing Corp.,FSX,Basic Materials,Gold,0,V6J 4M6,BC,Canada
VSSYW,Versus Systems Inc.,NASDAQ,Technology,Software - Application,39,V6C 3J4,BC,Canada
HBB,Hamilton Beach Brands Holding Co,NYSE,Consumer Cyclical,"Furnishings, Fixtures & Appliances",665,23060,VA,United States
EGO,Eldorado Gold Corp,NYSE,Basic Materials,Gold,4700,V6C 2B5,BC,Canada
AT0000A2H102,EGB OE TL.Z./MUENCH RUECK,VSE,,,0,,,Austria
EWWCL,"iShares, Inc. - iShares MSCI Mexico ETF",BVS,,,0,,,Chile
LSSB25.PR.RO,Spb 1 Lom og Skjaak 21/26 FRN,OSE,,,0,,,Norway
P8T,Royalties Inc.,FSX,Basic Materials,Other Industrial Metals & Mining,0,M5J 2H7,ON,Canada
300903,"Guangdong Kingshine Electronic Technology Co.,Ltd.",SZSE,Technology,Electronic Components,3802,516083,,China
GALACTICO,Galactico Corporate Services L,BSE,,,0,,,India
BJ4,Carlyle Commodities Corp.,FSX,Basic Materials,Other Industrial Metals & Mining,0,V6E 3V6,BC,Canada
CORZQ,"Core Scientific, Inc.",OTC,Technology,Software - Infrastructure,235,78704,TX,United States
301117,"Jiayuan Science and Technology Co.,Ltd.",SZSE,Technology,Information Technology Services,233,610095,,China
AT0000A2KD30,RCB GarZ/STXGLOESGLeadSel50-28,VSE,,,0,,,Austria
DNA2,Doric Nimrod Air Two Limited,LSE,,,0,GY1 2HT,,Guernsey
8493,Dragon King Group Holdings Limited,HKEX,Consumer Cyclical,Restaurants,113,,,Hong Kong
ETPHF,Agriminco Corp.,OTC,Basic Materials,Other Industrial Metals & Mining,0,M5J 2Z4,ON,Canada
2ZT0,Acheter-Louer.fr S.A.,XSTU,,,0,,,Germany
RIVT,Riviera Tool Co.,OTC,Industrials,Metal Fabrication,140,49512-5510,MI,United States
TAKOF,Drone Delivery CDA Corp,OTC,Technology,Computer Hardware,0,L4H 0K8,ON,Canada
900904,"Shanghai Shenqi Pharmaceutical Investment Management Co.,Ltd.",SSE,Healthcare,Drug Manufacturers - General,1570,200003,,China
VIVANZA,Vivanza Biosciences Limited,BSE,,,0,,,India
STM,STMicroelectronics NV,NYSE,Technology,Semiconductors,51323,,,Switzerland
MJ8,"McDonald's Holdings Company (Japan), Ltd.",FSX,Consumer Cyclical,Restaurants,0,163-1339,,Japan
1I3,Musk Metals Corp.,FSX,Basic Materials,Other Precious Metals & Mining,0,V7Y 1C6,BC,Canada
0MTS,SOURCE STOXX EUROPE SMALL 200 E,LSE,,,0,,,United Kingdom
1DK,Global Bioenergies,FSX,,,0,,,Germany
32Z,South32 Ltd,FSX,Basic Materials,Other Industrial Metals & Mining,9616,6000,WA,Australia
F42771,F42771.MI,MTA,,,0,,,Italy
058028,058028.TW,TWSE,,,0,,,Taiwan
MC8,Marathon Gold Corporation,FSX,Basic Materials,Gold,634,M5C 2X3,ON,Canada
MIH,"Mitsubishi Heavy Industries, Ltd.",FSX,Industrials,Specialty Industrial Machinery,76859,100-8332,,Japan
ADEVF,ADEVINTA ASA,OTC,Communication Services,Internet Content & Information,5565,,,Norway
AVO,Mission Produce Inc,NASDAQ,Consumer Defensive,Food Distribution,3300,93030,CA,United States
IRC,Inoue Rubber ,SET,Consumer Cyclical,Auto Parts,0,12130,,Thailand
BRCA,Brembo S.p.A.,FSX,Consumer Cyclical,Auto Parts,13630,24040,BG,Italy
HJGP,"Hanjiao Group, Inc.",OTC,Consumer Cyclical,Internet Retail,34,,,China
TRASTOR,Trastor Real Estate Investment Company SA,ASE,Real Estate,REIT—Diversified,17,15125,,Greece
1587,Cryomax Cooling System Corp.,TWSE,Consumer Cyclical,Auto Parts,0,528,,Taiwan
6392,Yamada Corporation,JPX,Industrials,Specialty Industrial Machinery,333,143-8504,,Japan
ENLV,Enlivex Therapeutics Ltd,NASDAQ,Healthcare,Biotechnology,0,7403618,,Israel
SIMAT,Simat Technologies Public Company Limited,SET,Technology,Electronics & Computer Distribution,0,10520,,Thailand
A17U,Ascendas Real Estate Investment Trust,SGX,Real Estate,REIT—Industrial,0,068912,,Singapore
263050,"Eutilex.Co.,Ltd.",KRX,,,90,08591,,South Korea
3031,Haitong MSCI China A ESG ETF,HKEX,,,0,,,Hong Kong
6591,Sun Max Tech Limited,TWSE,Technology,Computer Hardware,0,,,Taiwan
8370,Zhi Sheng Group Holdings Limited,HKEX,Industrials,Business Equipment & Supplies,137,,,China
UTIP,SPDR Bloomberg Barclays U.S. TIPS UCITS ETF,LSE,,,0,,,United Kingdom
CHARAN,Charan Insurance Public Company Limited,SET,Financial Services,Insurance - Property & Casualty,0,10310,,Thailand
CZTA,"Checkpoint Therapeutics, Inc.",FSX,Healthcare,Biotechnology,24,02453,MA,United States
709,Kraft Bank ASA,FSX,,,0,,,Germany
SKIS.B,SkiStar AB,OMX,Consumer Cyclical,Resorts & Casinos,996,780 91,,Sweden
SIAM.R,Siam Steel International Public Company Limited,SET,Consumer Cyclical,"Furnishings, Fixtures & Appliances",0,10130,,Thailand
6725,"Cica-Huntek Chemical Technology Taiwan Co., Ltd.",TWSE,Industrials,Specialty Industrial Machinery,362,302,,Taiwan
BUR,Burford Capital Limited,NYSE,Financial Services,Asset Management,158,GY1 2NP,,Guernsey
OXLCN,Oxford Lane Capital Corp. - 7.125% Series 2029 Term Preferred Stock,NASDAQ,Financial Services,Asset Management,0,06830,CT,United States
CKALF,Cokal Limited,OTC,,,0,,,United States
SII,Sprott Inc.,NYSE,Financial Services,Asset Management,129,M5J 2J1,ON,Canada
MFRVF,Minera Frisco S A B,OTC,Basic Materials,Other Industrial Metals & Mining,2966,11000,DF,Mexico
AABWL,MSCIF    1STN1129L,EURONEXT,,,0,,,France
DHARFIN,Dharani Finance Limited,BSE,,,0,,,India
1COST,COSTCO WHOLESALE,MTA,,,0,,,Italy
286940,Lotte Data Communication Company,KRX,Technology,Information Technology Services,2789,08500,,South Korea
P8W0,Worldwide Healthcare Trust PLC,FSX,,,0,10022,NY,United States
1HOOD,ROBINHOOD MARKETS,MTA,Financial Services,Capital Markets,2200,94025,CA,United States
OCEL,"Organicell Regenerative Medicine, Inc.",OTC,Healthcare,Biotechnology,23,33328,FL,United States
AB2,ABN AMRO Bank N.V.,FSX,Financial Services,Banks - Diversified,20872,1082 PP,,Netherlands
G7A,"Grupo Aeroportuario del Centro Norte, S.A.B. de C.V.",FSX,Industrials,Airports & Air Services,1119,03800,DF,Mexico
BKE,Buckle Inc-The,NYSE,Consumer Cyclical,Apparel Retail,3100,68845-4915,NE,United States
2120,"Wenzhou Kangning Hospital Co., Ltd.",HKEX,Healthcare,Medical Care Facilities,4652,,,China
VICR,Vicor Corp,NASDAQ,Technology,Electronic Components,1063,01810,MA,United States
ZJS1,JinkoSolar Holding Co Ltd,FSX,Technology,Solar,46511,334100,,China
M6X3,Yield10 Bioscience Inc,FSX,Basic Materials,Agricultural Inputs,30,01801,MA,United States
708524,708524.TWO,TWSE,,,0,,,Taiwan
JDCMF,"JD.com, Inc.",OTC,Consumer Cyclical,Internet Retail,450679,101111,,China
AGYO,Atakule Gayrimenkul Yatirim Ortakligi A.S.,BIST,Real Estate,REIT—Diversified,37,,,Turkey
HAIA,Healthcare AI Acquisition Corp.,NASDAQ,Financial Services,Shell Companies,0,10177,,Cayman Islands
08D,"Mirum Pharmaceuticals, Inc.",FSX,Healthcare,Biotechnology,249,94404,CA,United States
0LKC,VanEck Vectors ETF Trust - VanEck Vectors Gold Miners ETF,LSE,,,0,,,United Kingdom
OAR,Oakdale Resources Ltd,ASX,Basic Materials,Other Industrial Metals & Mining,0,6007,WA,Australia
2N8,"Global Net Lease, Inc.",FSX,Real Estate,REIT—Diversified,1,10019-6108,NY,United States
BSSC,"Bank of Southside (The) (Carson, VA)",OTC,Financial Services,Banks—Regional,0,23830,VA,United States
USY1,Unisys Corp,FSX,Technology,Information Technology Services,16500,19422,PA,United States
PLTK,Playtika Holding Corp.,NASDAQ,Communication Services,Electronic Gaming & Multimedia,3600,,,Israel
BHSC,BioHarvest Sciences Inc.,CSE,Consumer Defensive,Packaged Foods,0,V6C 2T6,BC,Canada
UC2X14,UC2X14.MI,MTA,,,0,,,Italy
PHAL,PharmaLundensis AB,OMX,Healthcare,Biotechnology,1,223 63,,Sweden
1MS,Munters Group AB (publ),FSX,Industrials,Pollution & Treatment Controls,4981,164 40,,Sweden
S5HE,RCB OE TrackX4 l DAX,VSE,,,0,,,Austria
UD7C,Vantex Resources Ltd.,FSX,Basic Materials,Other Industrial Metals & Mining,0,V6C 3N6,BC,Canada
215570,Cronex Co Ltd,KONEX,,,0,,,South Korea
REVE11,It Now Russell® 1000 Green Revenues 50 Fundo De Indice,BOVESPA,,,0,4344-902,SP,Brazil
AT0000A2QK35,RCB GarZ/STOXXGlobSelDiv100-29,VSE,,,0,,,Austria
WN30,Woolworths Holdings Limited,FSX,Consumer Cyclical,Department Stores,40103,8001,,South Africa
EPH,Eastern Property Holdings Limited,SIX,Real Estate,Real Estate Services,0,3020,,Cyprus
NVIVQ,InVivo Therapeutics Holdings Corp,OTC,Healthcare,Biotechnology,6,02139,MA,United States
6RV,AppLovin Corporation,MUNICH,Technology,Software—Application,1717,94304,CA,United States
710395,710395.TWO,TWSE,,,0,,,Taiwan
FKKFY,"Fukuoka Financial Group, Inc.",OTC,Financial Services,Banks - Regional,7546,810-8693,,Japan
DMXCF,DISTRICT METALS CORP,OTC,Basic Materials,Other Industrial Metals & Mining,0,V6E 2Y3,BC,Canada
0NRE,Enel SpA,LSE,Utilities,Utilities - Diversified,65569,00198,RM,Italy
9393,ITRONIC,MYX,Technology,Electronic Components,0,43300,,Malaysia
3541,Nousouken Corporation,JPX,Consumer Defensive,Food Distribution,107,640-8341,,Japan
3161,AZEARTH Corporation,JPX,Consumer Cyclical,Textile Manufacturing,163,111-8623,,Japan
LX83,EB OE TL.Z./E.ON,VSE,,,0,,,Austria
002261,"Talkweb Information System Co.,Ltd.",SZSE,Technology,Information Technology Services,4020,410205,,China
512890,Huatai-PB CSI Div Volat ETF,SSE,,,0,,,China
517200,Harvest Fund Management - Harvest CSI Sh Hk SZ Internet ETF,SSE,,,0,,,China
OPC,Occidental Petroleum Corp,FSX,Energy,Oil & Gas E&P,12570,77046-0521,TX,United States
ULBI,Ultralife Corp,NASDAQ,Industrials,Electrical Equipment & Parts,547,14513,NY,United States
1WR,Westrock Co,XETR,,,56100,30328,GA,United States
1PM,Primoris Services Corp,FSX,Industrials,Engineering & Construction,14058,75201,TX,United States
UGH,Uriel Gas Holdings Corp.,CSE,Energy,Oil & Gas E&P,0,T2P 2V6,AB,Canada
F23300,F23300.MI,MTA,,,0,,,Italy
CYL,Ceylon Graphite Corp,TSXV,Basic Materials,Other Industrial Metals & Mining,0,V6E 3V6,BC,Canada
CEEJAY,Ceejay Finance Limited,BSE,,,0,,,India
TDSA,Exchange Listed Funds Trust - Cabana Target Drawdown 5 ETF,NYSE,,,0,,,United States
2011,China Apex Group Limited,HKEX,Consumer Cyclical,Apparel Manufacturing,663,,,Hong Kong
JGLCF,JS GLOBAL LIFESTYLE CO LTD.,OTC,Consumer Cyclical,"Furnishings, Fixtures & Appliances",5629,,,Hong Kong
6561,"Hanatour Japan Co., Ltd.",JPX,Consumer Cyclical,Travel Services,211,160-0022,,Japan
9509,"Hokkaido Electric Power Company, Incorporated",JPX,Utilities,Utilities—Renewable,10005,060-8677,,Japan
SMME,"SmartMetric, Inc.",OTC,Technology,Software - Infrastructure,1,89109,NV,United States
BCV,Bancroft Fund Ltd,NYSE,Financial Services,Asset Management,0,10580-1422,NY,United States
ASEKY,"Aisin Seiki Co., Ltd.",OTC,Consumer Cyclical,Auto Parts,116649,448-8650,,Japan
DUBA,DRDGOLD Limited,FSX,Basic Materials,Gold,927,1709,,South Africa
AMCI,AMCI Acquisition Corp,NASDAQ,,,0,,,United States
KOTAKBANK,Kotak Mahindra Bank Limited,NSE,Financial Services,Banks—Regional,103317,400051,,India
5PZ,"Soltec Power Holdings, S.A.",FSX,Technology,Solar,1817,30500,,Spain
